,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/P90,Ast/P90,G+A/P90,G-PK/P90,G+A-PK/P90,xG,npxG,xA,npxG+xA,xG/P90,xA/P90,xG+xA/P90,npxG/P90,npxG+xA/P90
277,Lorenzo Pirola,it ITA,DF,20-192,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Reda Boultam,nl NED,MF,24-181,0,0,,,,,,,,,,,,,,,,,,,,,,,
279,Leonardo Capezzi,it ITA,MF,27-156,0,0,,,,,,,,,,,,,,,,,,,,,,,
280,Vincenzo Fiorillo,it ITA,GK,32-230,0,0,,,,,,,,,,,,,,,,,,,,,,,
281,Antonio Iervolino,it ITA,MF,19-242,0,0,,,,,,,,,,,,,,,,,,,,,,,
282,Paweł Jaroszyński,pl POL,"DF,MF",27-333,0,0,,,,,,,,,,,,,,,,,,,,,,,
283,Wajdi Kechrida,tn TUN,DF,26-299,0,0,,,,,,,,,,,,,,,,,,,,,,,
284,Alessandro Micai,it ITA,GK,29-038,0,0,,,,,,,,,,,,,,,,,,,,,,,
285,Andrei Motoc,ro ROU,MF,20-140,0,0,,,,,,,,,,,,,,,,,,,,,,,
286,Andrea Sorrentino,it ITA,GK,17-314,0,0,,,,,,,,,,,,,,,,,,,,,,,
287,Freddie Veseli,al ALB,DF,29-284,0,0,,,,,,,,,,,,,,,,,,,,,,,
288,Rodrigo Becão,br BRA,DF,26-224,3,3,270.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.33,0.67,0.33,0.67,0.2,0.2,0.5,0.7,0.07,0.15,0.22,0.07,0.22
289,Roberto Pereyra,ar ARG,"MF,DF",31-236,3,3,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,0.2,0.2,0.6,0.9,0.08,0.21,0.29,0.08,0.29
290,Marco Silvestri,it ITA,GK,31-182,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Adam Masina,ma MAR,DF,28-241,3,3,262.0,2.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34,0.1,0.1,0.1,0.2,0.04,0.04,0.08,0.04,0.08
292,Walace,br BRA,MF,27-149,3,3,255.0,2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.0,0.02,0.02,0.02
293,Gerard Deulofeu,es ESP,FW,28-171,3,3,236.0,2.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.0,0.38,1.4,1.4,0.6,2.0,0.55,0.22,0.77,0.55,0.77
294,Jean-Victor Makengo,fr FRA,MF,24-080,3,3,200.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.1,0.12,0.02,0.12
295,Bram Nuytinck,nl NED,DF,32-119,3,2,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
